Plaintext1,Plaintext2,Ciphertext1,Ciphertext2
0x0000,0x1000,0x4ce1,0xd5ed
0x0001,0x1001,0x3cf3,0xf51a
0x0002,0x1002,0x3111,0x3c11
0x0003,0x1003,0x3311,0xf41d
0x0004,0x1004,0x33d1,0xf4dd
0x0005,0x1005,0x31d1,0x2011
0x0006,0x1006,0x22f0,0xd51a
0x0007,0x1007,0x2cff,0xe518
0x0008,0x1008,0x4af0,0x43e0
0x0009,0x1009,0x48e1,0x43e1
0x000a,0x100a,0x40f0,0xd7fc
0x000b,0x100b,0x26f0,0x62df
0x000c,0x100c,0x28ff,0x3313
0x000d,0x100d,0x38f3,0x33d3
0x000e,0x100e,0x26e0,0x62d3
0x000f,0x100f,0x22e0,0xd5da
0x0010,0x1010,0x48c5,0xd5e6
0x0011,0x1011,0x38b9,0xf517
0x0012,0x1012,0x3115,0x3855
0x0013,0x1013,0x3155,0xf416
0x0014,0x1014,0xf3dd,0xf44d
0x0015,0x1015,0xf1dd,0xe01d
0x0016,0x1016,0x26b2,0xd517
0x0017,0x1017,0xecf8,0xe568
0x0018,0x1018,0xdafc,0xd3ec
0x0019,0x1019,0x48e5,0x41c5
0x001a,0x101a,0xd0fc,0xd73c
0x001b,0x101b,0x26f2,0x667b
0x001c,0x101c,0xe8f8,0xf31a
0x001d,0x101d,0x38f9,0x3179
0x001e,0x101e,0xe6ec,0x12da
0x001f,0x101f,0xe2ec,0xd54a
0x0020,0x1020,0xee30,0x4513
0x0021,0x1021,0xfb89,0x8e13
0x0022,0x1022,0xfd33,0xff43
0x0023,0x1023,0xfb33,0x3513
0x0024,0x1024,0xeb3f,0x251f
0x0025,0x1025,0xed3f,0xff63
0x0026,0x1026,0xee82,0x9e13
0x0027,0x1027,0xeb8b,0xae1f
0x0028,0x1028,0xe520,0x1e43
0x0029,0x1029,0xe530,0x1e4f
0x002a,0x102a,0xee20,0x45d3
0x002b,0x102b,0xce30,0x1e9b
0x002c,0x102c,0xcb3f,0xff09
0x002d,0x102d,0xbb33,0xff99
0x002e,0x102e,0xce20,0x1e99
0x002f,0x102f,0xeea2,0x9ed3
0x0030,0x1030,0xddc6,0x46e5
0x0031,0x1031,0xfdb7,0x3619
0x0032,0x1032,0x3a55,0x3815
0x0033,0x1033,0xf756,0x3a15
0x0034,0x1034,0xff4d,0xfadd
0x0035,0x1035,0xf0dd,0xea1d
0x0036,0x1036,0xe5b4,0x4619
0x0037,0x1037,0xeb38,0xe618
0x0038,0x1038,0xd3fc,0xd1ec
0x0039,0x1039,0x46c5,0x41e5
0x003a,0x103a,0xd93c,0xd1fc
0x003b,0x103b,0x4659,0x66db
0x003c,0x103c,0xe218,0xf11a
0x003d,0x103d,0x3659,0x31d9
0x003e,0x103e,0xd2da,0x16da
0x003f,0x103f,0xee2c,0xd6da
0x0040,0x1040,0x3bfa,0x356a
0x0041,0x1041,0x8bb7,0x8567
0x0042,0x1042,0x8bba,0x877a
0x0043,0x1043,0x8dba,0x8e0a
0x0044,0x1044,0xadb8,0xae08
0x0045,0x1045,0xabb8,0x875a
0x0046,0x1046,0x3bb7,0x8e6a
0x0047,0x1047,0xabbe,0xa56e
0x0048,0x1048,0x2df8,0x3f1a
0x0049,0x1049,0x3dfa,0x3fda
0x004a,0x104a,0x2bf8,0x2568
0x004b,0x104b,0x8bfa,0x3f77
0x004c,0x104c,0xadfe,0x8f57
0x004d,0x104d,0x8df7,0x8f77
0x004e,0x104e,0xabf8,0x3f57
0x004f,0x104f,0x2bbe,0xae68
0x0050,0x1050,0x3db7,0x3567
0x0051,0x1051,0x3bba,0x8507
0x0052,0x1052,0x3dba,0x87da
0x0053,0x1053,0x8dfa,0x350a
0x0054,0x1054,0xa88f,0xae0f
0x0055,0x1055,0xac8f,0x8103
0x0056,0x1056,0x3bf7,0x8e67
0x0057,0x1057,0xac8b,0xa56b
0x0058,0x1058,0x283f,0x3363
0x0059,0x1059,0x3df7,0x3777
0x005a,0x105a,0x2c3f,0x256f
0x005b,0x105b,0x8bf7,0x3fd7
0x005c,0x105c,0xa83b,0x8309
0x005d,0x105d,0x8db7,0x3f7a
0x005e,0x105e,0xac3f,0x3309
0x005f,0x105f,0x2c8b,0xae6f
0x0060,0x1060,0x25b2,0xd569
0x0061,0x1061,0x3bf9,0xbe69
0x0062,0x1062,0xf509,0xf749
0x0063,0x1063,0x3db9,0xf569
0x0064,0x1064,0xecff,0xe51f
0x0065,0x1065,0xee1f,0xf713
0x0066,0x1066,0x2ef2,0x7e69
0x0067,0x1067,0xecbb,0xce1f
0x0068,0x1068,0xded3,0x15d3
